OrderID,Product,Category,Quantity,Price,OrderDate,CustomerID,Region
1,Laptop,Electronics,1,1200.00,2023-01-15,CUST-001,North America
2,Mouse,Electronics,2,25.50,2023-01-16,CUST-002,Europe
3,Keyboard,Electronics,2,75.00,2023-01-17,CUST-003,Asia
4,Monitor,Electronics,1,300.00,2023-01-18,CUST-004,North America
5,Webcam,Electronics,3,50.00,2023-01-19,CUST-005,Europe
6,Desk Chair,Furniture,1,150.00,2023-01-20,CUST-006,Asia
7,Notebook,Office Supplies,10,5.00,2023-01-21,CUST-007,North America
8,Pen Set,Office Supplies,5,10.00,2023-01-22,CUST-008,Europe
9,Coffee Maker,Appliances,1,80.00,2023-01-23,CUST-009,Asia
10,Smartphone,Electronics,1,800.00,2023-01-24,CUST-010,North America
11,T-Shirt,Apparel,5,20.00,2023-01-25,CUST-011,Europe
12,Jeans,Apparel,2,60.00,2023-01-26,CUST-012,Asia
13,Sneakers,Apparel,1,90.00,2023-01-27,CUST-013,North America
14,Backpack,Accessories,1,40.00,2023-01-28,CUST-014,Europe
15,Water Bottle,Accessories,3,15.00,2023-01-29,CUST-015,Asia
16,Headphones,Electronics,1,120.00,2023-01-30,CUST-016,North America
17,Blender,Appliances,1,50.00,2023-01-31,CUST-017,Europe
18,Book,Books,4,18.00,2023-02-01,CUST-018,Asia
19,Lego Set,Toys,1,100.00,2023-02-02,CUST-019,North America
20,Action Figure,Toys,2,25.00,2023-02-03,CUST-020,Europe
21,Laptop,Electronics,1,1300.00,2023-02-04,CUST-021,Asia
22,Mouse,Electronics,1,22.00,2023-02-05,CUST-022,North America
23,Keyboard,Electronics,3,80.00,2023-02-06,CUST-023,Europe
24,Monitor,Electronics,2,350.00,2023-02-07,CUST-024,Asia
25,Webcam,Electronics,1,45.00,2023-02-08,CUST-025,North America
26,Desk Chair,Furniture,2,160.00,2023-02-09,CUST-026,Europe
27,Notebook,Office Supplies,20,4.50,2023-02-10,CUST-027,Asia
28,Pen Set,Office Supplies,10,9.00,2023-02-11,CUST-028,North America
29,Coffee Maker,Appliances,1,85.00,2023-02-12,CUST-029,Europe
30,Smartphone,Electronics,2,850.00,2023-02-13,CUST-030,Asia
31,T-Shirt,Apparel,10,18.00,2023-02-14,CUST-031,North America
32,Jeans,Apparel,1,55.00,2023-02-15,CUST-032,Europe
33,Sneakers,Apparel,2,95.00,2023-02-16,CUST-033,Asia
34,Backpack,Accessories,1,42.00,2023-02-17,CUST-034,North America
35,Water Bottle,Accessories,5,14.00,2023-02-18,CUST-035,Europe
36,Headphones,Electronics,2,125.00,2023-02-19,CUST-036,Asia
37,Blender,Appliances,1,55.00,2023-02-20,CUST-037,North America
38,Book,Books,3,20.00,2023-02-21,CUST-038,Europe
39,Lego Set,Toys,1,110.00,2023-02-22,CUST-039,Asia
40,Action Figure,Toys,3,28.00,2023-02-23,CUST-040,North America
41,Laptop,Electronics,1,1100.00,2023-02-24,CUST-041,Europe
42,Mouse,Electronics,4,30.00,2023-02-25,CUST-042,Asia
43,Keyboard,Electronics,1,70.00,2023-02-26,CUST-043,North America
44,Monitor,Electronics,1,280.00,2023-02-27,CUST-044,Europe
45,Webcam,Electronics,2,55.00,2023-02-28,CUST-045,Asia
46,Desk Chair,Furniture,1,140.00,2023-03-01,CUST-046,North America
47,Notebook,Office Supplies,15,5.50,2023-03-02,CUST-047,Europe
48,Pen Set,Office Supplies,8,11.00,2023-03-03,CUST-048,Asia
49,Coffee Maker,Appliances,1,78.00,2023-03-04,CUST-049,North America
50,Smartphone,Electronics,1,750.00,2023-03-05,CUST-050,Europe
51,T-Shirt,Apparel,8,22.00,2023-03-06,CUST-051,Asia
52,Jeans,Apparel,3,65.00,2023-03-07,CUST-052,North America
53,Sneakers,Apparel,1,85.00,2023-03-08,CUST-053,Europe
54,Backpack,Accessories,2,45.00,2023-03-09,CUST-054,Asia
55,Water Bottle,Accessories,4,16.00,2023-03-10,CUST-055,North America
56,Headphones,Electronics,1,115.00,2023-03-11,CUST-056,Europe
57,Blender,Appliances,2,60.00,2023-03-12,CUST-057,Asia
58,Book,Books,5,15.00,2023-03-13,CUST-058,North America
59,Lego Set,Toys,1,95.00,2023-03-14,CUST-059,Europe
60,Action Figure,Toys,4,30.00,2023-03-15,CUST-060,Asia
61,Laptop,Electronics,1,1400.00,2023-03-16,CUST-061,North America
62,Mouse,Electronics,2,28.00,2023-03-17,CUST-062,Europe
63,Keyboard,Electronics,2,78.00,2023-03-18,CUST-063,Asia
64,Monitor,Electronics,1,320.00,2023-03-19,CUST-064,North America
65,Webcam,Electronics,3,52.00,2023-03-20,CUST-065,Europe
66,Desk Chair,Furniture,1,155.00,2023-03-21,CUST-066,Asia
67,Notebook,Office Supplies,12,6.00,2023-03-22,CUST-067,North America
68,Pen Set,Office Supplies,6,12.00,2023-03-23,CUST-068,Europe
69,Coffee Maker,Appliances,1,82.00,2023-03-24,CUST-069,Asia
70,Smartphone,Electronics,1,820.00,2023-03-25,CUST-070,North America
71,T-Shirt,Apparel,6,21.00,2023-03-26,CUST-071,Europe
72,Jeans,Apparel,2,58.00,2023-03-27,CUST-072,Asia
73,Sneakers,Apparel,1,92.00,2023-03-28,CUST-073,North America
74,Backpack,Accessories,1,38.00,2023-03-29,CUST-074,Europe
75,Water Bottle,Accessories,3,12.00,2023-03-30,CUST-075,Asia
76,Headphones,Electronics,1,130.00,2023-03-31,CUST-076,North America
77,Blender,Appliances,1,48.00,2023-04-01,CUST-077,Europe
78,Book,Books,6,19.00,2023-04-02,CUST-078,Asia
79,Lego Set,Toys,1,105.00,2023-04-03,CUST-079,North America
80,Action Figure,Toys,2,26.00,2023-04-04,CUST-080,Europe
81,Laptop,Electronics,1,1250.00,2023-04-05,CUST-081,Asia
82,Mouse,Electronics,1,24.00,2023-04-06,CUST-082,North America
83,Keyboard,Electronics,3,82.00,2023-04-07,CUST-083,Europe
84,Monitor,Electronics,2,330.00,2023-04-08,CUST-084,Asia
85,Webcam,Electronics,1,48.00,2023-04-09,CUST-085,North America
86,Desk Chair,Furniture,2,165.00,2023-04-10,CUST-086,Europe
87,Notebook,Office Supplies,25,4.00,2023-04-11,CUST-087,Asia
88,Pen Set,Office Supplies,12,8.50,2023-04-12,CUST-088,North America
89,Coffee Maker,Appliances,1,88.00,2023-04-13,CUST-089,Europe
90,Smartphone,Electronics,2,900.00,2023-04-14,CUST-090,Asia
91,T-Shirt,Apparel,12,19.00,2023-04-15,CUST-091,North America
92,Jeans,Apparel,1,50.00,2023-04-16,CUST-092,Europe
93,Sneakers,Apparel,2,100.00,2023-04-17,CUST-093,Asia
94,Backpack,Accessories,1,35.00,2023-04-18,CUST-094,North America
95,Water Bottle,Accessories,6,13.00,2023-04-19,CUST-095,Europe
96,Headphones,Electronics,2,135.00,2023-04-20,CUST-096,Asia
97,Blender,Appliances,1,65.00,2023-04-21,CUST-097,North America
98,Book,Books,2,22.00,2023-04-22,CUST-098,Europe
99,Lego Set,Toys,1,115.00,2023-04-23,CUST-099,Asia
100,Action Figure,Toys,3,29.00,2023-04-24,CUST-100,North America
